Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm
1490,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,eng Premier League,30.0,1994,31,18,1733,19.3,0,2,2,0,0,0,7,0,0.10,19,7,36.8,0.99,0.36,0.00,0.00,0,0,12,18,25,24,7,0,0,25,2,,,,,,,,,,,,,,
1491,Louis Leroux,fr FRA,"MF,DF",Nantes,fr Ligue 1,19.0,2006,23,16,1441,16.0,1,1,2,1,0,0,2,0,0.12,15,3,20.0,0.94,0.19,0.07,0.33,0,0,30,23,5,14,2,0,0,12,0,,,,,,,,,,,,,,
1492,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,36.0,1988,31,17,1664,18.5,14,2,16,13,1,3,2,0,0.81,63,29,46.0,3.41,1.57,0.21,0.45,1,3,0,3,3,21,2,0,0,13,0,,,,,,,,,,,,,,
1493,Jamie Leweling,de GER,MF,Stuttgart,de Bundesliga,24.0,2001,32,26,2367,26.3,7,9,16,7,0,0,4,0,0.61,49,18,36.7,1.86,0.68,0.14,0.39,0,0,123,12,13,43,4,0,0,17,0,,,,,,,,,,,,,,
1494,Rico Lewis,eng ENG,DF,Manchester City,eng Premier League,20.0,2004,11,4,407,4.5,0,1,1,0,0,0,2,0,0.22,3,0,0.0,0.66,0.00,0.00,,0,0,2,4,7,9,2,0,0,5,0,,,,,,,,,,,,,,
1495,Keane Lewis-Potter,eng ENG,"DF,MF",Brentford,eng Premier League,24.0,2001,36,22,1972,21.9,3,3,6,3,0,0,1,0,0.27,31,9,29.0,1.41,0.41,0.10,0.33,0,0,69,14,10,36,1,0,0,15,0,,,,,,,,,,,,,,
1496,Myles Lewis-Skelly,eng ENG,"MF,DF",Arsenal,eng Premier League,18.0,2006,20,5,709,7.9,0,0,0,0,0,0,3,0,0.00,2,0,0.0,0.25,0.00,0.00,,0,0,0,5,5,16,3,0,0,10,0,,,,,,,,,,,,,,
1497,Luca Lezzerini,it ITA,GK,Fiorentina,it Serie A,30.0,1995,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,0,0,0,0,,0,0,0,0
1498,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,29.0,1996,20,14,1302,14.5,1,0,1,1,0,0,4,1,0.07,8,2,25.0,0.55,0.14,0.13,0.50,0,0,13,13,13,8,4,1,1,7,0,,,,,,,,,,,,,,
1499,Matthijs de Ligt,nl NED,DF,Manchester Utd,eng Premier League,25.0,1999,13,13,1170,13.0,1,0,1,1,0,0,0,0,0.08,11,3,27.3,0.85,0.23,0.09,0.33,0,0,4,13,11,5,0,0,0,6,0,,,,,,,,,,,,,,
1500,Pedro Lima,br BRA,MF,Wolves,eng Premier League,19.0,2006,9,3,260,2.9,0,0,0,0,0,0,0,0,0.00,4,1,25.0,1.38,0.35,0.00,0.00,0,0,10,5,4,1,0,0,0,6,0,,,,,,,,,,,,,,
1501,Victor Lindelöf,se SWE,"DF,MF",Aston Villa,eng Premier League,31.0,1994,17,11,948,10.5,0,1,1,0,0,0,0,0,0.09,3,0,0.0,0.28,0.00,0.00,,0,0,0,3,8,0,0,0,0,2,0,,,,,,,,,,,,,,
1502,Jesper Lindstrøm,dk DEN,MF,Wolfsburg,de Bundesliga,25.0,2000,13,4,379,4.2,0,0,0,0,0,0,2,0,0.00,9,5,55.6,2.14,1.19,0.00,0.00,0,0,7,6,0,4,2,0,0,10,0,,,,,,,,,,,,,,
1503,Luca Lipani,it ITA,MF,Sassuolo,it Serie A,20.0,2005,24,10,1034,11.5,0,1,1,0,0,0,3,0,0.09,12,3,25.0,1.04,0.26,0.00,0.00,0,0,5,17,15,8,3,0,0,28,0,,,,,,,,,,,,,,
1504,Pol Lirola,es ESP,MF,Hellas Verona,it Serie A,27.0,1997,6,3,305,3.4,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,16,3,2,0,1,0,0,3,0,,,,,,,,,,,,,,
1505,Pol Lirola,es ESP,"DF,MF",Marseille,fr Ligue 1,27.0,1997,3,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,2,0,1,2,0,0,0,1,0,,,,,,,,,,,,,,
1506,Adrián Liso,es ESP,"FW,MF",Getafe,es La Liga,20.0,2005,28,21,1702,18.9,3,0,3,3,0,0,5,1,0.16,26,10,38.5,1.37,0.53,0.12,0.30,0,0,42,22,4,43,5,1,1,39,0,,,,,,,,,,,,,,
1507,Joseph Liteta,zm ZAM,MF,Cagliari,it Serie A,19.0,2006,4,4,264,2.9,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,2,8,0,0,0,0,4,0,,,,,,,,,,,,,,
1508,Valentino Livramento,eng ENG,DF,Newcastle United,eng Premier League,22.0,2002,17,14,1328,14.8,0,1,1,0,0,0,1,0,0.07,3,0,0.0,0.20,0.00,0.00,,0,0,36,14,2,16,1,0,0,7,0,,,,,,,,,,,,,,
1509,Marin Ljubicic,hr CRO,FW,Union Berlin,de Bundesliga,23.0,2002,2,0,22,0.2,2,0,2,2,0,0,0,0,8.18,2,2,100.0,8.18,8.18,1.00,1.00,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,
1510,Javier Llabrés,es ESP,MF,Mallorca,es La Liga,22.0,2002,16,1,187,2.1,0,0,0,0,0,0,0,0,0.00,5,2,40.0,2.41,0.96,0.00,0.00,0,0,10,2,0,3,0,0,0,4,0,,,,,,,,,,,,,,
1511,Diego Llorente,es ESP,DF,Real Betis,es La Liga,31.0,1993,18,14,1229,13.7,1,0,1,1,0,0,5,0,0.07,4,3,75.0,0.29,0.22,0.25,0.33,0,0,1,15,27,13,5,0,0,13,0,,,,,,,,,,,,,,
1512,Marcos Llorente,es ESP,"DF,MF",Atlético Madrid,es La Liga,30.0,1995,29,25,2181,24.2,0,4,4,0,0,0,7,1,0.17,18,6,33.3,0.74,0.25,0.00,0.00,0,0,49,41,13,11,7,1,1,28,0,,,,,,,,,,,,,,
1513,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,30.0,1995,29,28,2398,26.6,1,1,2,1,0,0,2,1,0.08,12,4,33.3,0.45,0.15,0.08,0.25,0,0,2,24,43,17,2,1,0,27,1,,,,,,,,,,,,,,
1514,Giovani Lo Celso,ar ARG,MF,Real Betis,es La Liga,29.0,1996,24,15,1393,15.5,2,3,5,2,0,0,4,0,0.32,30,11,36.7,1.94,0.71,0.07,0.18,0,0,61,13,6,42,4,0,0,9,0,,,,,,,,,,,,,,
1515,Danny Loader,cm CMR,"MF,FW",Auxerre,fr Ligue 1,24.0,2000,30,29,2517,28.0,3,3,6,3,0,0,9,0,0.21,62,17,27.4,2.22,0.61,0.05,0.18,0,0,32,25,9,47,9,0,0,64,0,,,,,,,,,,,,,,
1516,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,30.0,1994,32,29,2431,27.0,1,1,2,1,0,0,3,0,0.07,8,4,50.0,0.30,0.15,0.13,0.25,0,0,5,16,16,45,3,0,0,13,0,,,,,,,,,,,,,,
1517,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,27.0,1998,36,36,2994,33.3,1,2,3,1,0,1,9,0,0.09,46,12,26.1,1.38,0.36,0.02,0.08,0,1,19,66,38,44,9,0,0,55,0,,,,,,,,,,,,,,
1518,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,23.0,2002,21,14,1286,14.3,0,2,2,0,0,0,0,0,0.14,2,1,50.0,0.14,0.07,0.00,0.00,0,0,34,28,10,18,0,0,0,12,0,,,,,,,,,,,,,,
1519,Ruben Loftus-Cheek,eng ENG,"MF,FW",Milan,it Serie A,29.0,1996,28,12,1133,12.6,3,1,4,3,0,0,2,0,0.32,29,6,20.7,2.30,0.48,0.10,0.50,0,0,10,8,5,19,2,0,0,23,0,,,,,,,,,,,,,,
1520,Sean Longstaff,eng ENG,MF,Leeds United,eng Premier League,27.0,1997,23,10,1011,11.2,2,2,4,2,0,0,2,0,0.36,16,4,25.0,1.42,0.36,0.13,0.50,0,0,54,24,12,17,2,0,0,13,0,,,,,,,,,,,,,,
1521,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,27.0,1997,12,9,795,8.8,2,0,2,2,0,0,0,0,0.23,27,8,29.6,3.06,0.91,0.07,0.25,0,0,21,3,3,8,0,0,0,10,0,,,,,,,,,,,,,,
1522,Ademola Lookman,ng NGA,"FW,MF",Atlético Madrid,es La Liga,27.0,1997,12,9,617,6.9,4,0,4,3,1,1,1,0,0.44,21,5,23.8,3.06,0.73,0.14,0.60,1,1,12,3,1,10,1,0,0,7,0,,,,,,,,,,,,,,
1523,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,34.0,1990,32,32,2878,32.0,0,0,0,0,0,0,4,0,0.00,2,0,0.0,0.06,0.00,0.00,,0,0,0,1,1,14,4,0,0,1,0,50,1.56,143,98,68.5,4,7,20,7,21.9,5,5,0,0
1524,David López,es ESP,DF,Mallorca,es La Liga,22.0,2003,14,9,837,9.3,0,0,0,0,0,0,2,0,0.00,4,0,0.0,0.43,0.00,0.00,,0,0,0,7,9,4,2,0,0,13,1,,,,,,,,,,,,,,
1525,David López,es ESP,DF,Girona,es La Liga,35.0,1989,6,3,293,3.3,0,0,0,0,0,0,0,0,0.00,1,1,100.0,0.31,0.31,0.00,0.00,0,0,0,2,0,2,0,0,0,2,0,,,,,,,,,,,,,,
1526,Diego López,es ESP,"MF,FW",Valencia,es La Liga,23.0,2002,34,20,1762,19.6,4,1,5,4,0,0,2,0,0.26,28,8,28.6,1.43,0.41,0.14,0.50,0,0,41,16,14,33,2,0,0,20,0,,,,,,,,,,,,,,
1527,Fer López,es ESP,MF,Wolves,eng Premier League,21.0,2004,9,2,235,2.6,0,1,1,0,0,0,1,0,0.38,5,1,20.0,1.91,0.38,0.00,0.00,0,0,4,1,0,4,1,0,0,6,0,,,,,,,,,,,,,,
1528,Fer López,es ESP,"MF,FW",Celta Vigo,es La Liga,21.0,2004,17,13,1170,13.0,1,1,2,1,0,0,3,0,0.15,13,5,38.5,1.00,0.38,0.08,0.20,0,0,18,11,6,18,3,0,0,24,0,,,,,,,,,,,,,,
1529,Fermin López,es ESP,MF,Barcelona,es La Liga,22.0,2003,30,19,1797,20.0,6,9,15,6,0,0,3,0,0.75,68,25,36.8,3.41,1.25,0.09,0.24,0,0,36,22,7,20,3,0,0,34,0,,,,,,,,,,,,,,
1530,Hugo López,es ESP,MF,Villarreal,es La Liga,18.0,2007,2,1,56,0.6,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,2,1,1,0,0,0,0,2,0,,,,,,,,,,,,,,
1531,Javi López,es ESP,DF,Oviedo,es La Liga,23.0,2002,25,20,1711,19.0,0,1,1,0,0,0,3,1,0.05,7,1,14.3,0.37,0.05,0.00,0.00,0,0,60,23,20,26,3,1,0,38,0,,,,,,,,,,,,,,
1532,Julien López,dz ALG,"FW,MF",Paris FC,fr Ligue 1,33.0,1992,5,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
1533,Maxime Lopez,fr FRA,MF,Paris FC,fr Ligue 1,27.0,1997,26,22,1960,21.8,0,3,3,0,0,0,11,0,0.14,13,6,46.2,0.60,0.28,0.00,0.00,0,0,83,17,11,8,11,0,0,27,0,,,,,,,,,,,,,,
1534,Pau López,es ESP,GK,Real Betis,es La Liga,30.0,1994,9,9,810,9.0,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,2,1,0,0,0,0,11,1.22,39,29,71.8,4,2,3,2,22.2,1,0,1,0
1535,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,29.0,1995,28,19,1612,17.9,0,4,4,0,0,0,8,1,0.22,22,4,18.2,1.23,0.22,0.00,0.00,0,0,62,16,21,14,8,1,1,37,0,,,,,,,,,,,,,,
1536,Dachi Lordkipanidze,ge GEO,MF,Cremonese,it Serie A,20.0,2005,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1537,Lorran,br BRA,FW,Pisa,it Serie A,19.0,2006,9,0,122,1.4,1,0,1,1,0,0,0,0,0.74,3,1,33.3,2.21,0.74,0.33,1.00,0,0,5,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,
1538,Iker Losada,es ESP,MF,Levante,es La Liga,23.0,2001,23,10,902,10.0,3,1,4,3,0,0,1,0,0.40,14,4,28.6,1.40,0.40,0.21,0.75,0,0,22,12,10,7,1,0,0,6,0,,,,,,,,,,,,,,
1539,Simone Lottici Tessadri,it ITA,MF,Cremonese,it Serie A,19.0,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,1,0,0.0,15.00,0.00,0.00,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1540,Tom Louchet,fr FRA,MF,Nice,fr Ligue 1,22.0,2003,27,14,1367,15.2,3,2,5,3,0,0,1,1,0.33,21,6,28.6,1.38,0.40,0.14,0.50,0,0,51,17,9,13,1,1,0,16,0,,,,,,,,,,,,,,
1541,Marius Louer,fr FRA,DF,Angers,fr Ligue 1,18.0,2007,9,6,543,6.0,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,9,16,2,3,1,0,0,7,1,,,,,,,,,,,,,,
1542,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,27.0,1998,6,1,161,1.8,0,1,1,0,0,0,1,0,0.56,3,1,33.3,1.68,0.56,0.00,0.00,0,0,16,4,4,1,1,0,0,4,0,,,,,,,,,,,,,,
1543,Sandi Lovrić,si SVN,MF,Hellas Verona,it Serie A,27.0,1998,7,3,309,3.4,0,0,0,0,0,0,1,0,0.00,2,1,50.0,0.58,0.29,0.00,0.00,0,0,24,6,5,3,1,0,0,5,0,,,,,,,,,,,,,,
1544,Felipe Loyola,cl CHI,MF,Pisa,it Serie A,24.0,2000,11,6,538,6.0,1,0,1,1,0,0,0,1,0.17,9,1,11.1,1.51,0.17,0.11,1.00,0,0,4,7,6,2,0,1,0,8,0,,,,,,,,,,,,,,
1545,Pol Lozano,es ESP,MF,Espanyol,es La Liga,25.0,1999,33,28,2157,24.0,2,1,3,2,0,0,12,1,0.13,17,5,29.4,0.71,0.21,0.12,0.40,0,0,29,19,23,29,12,1,1,64,0,,,,,,,,,,,,,,
1546,Sergio Lozano,es ESP,MF,Levante,es La Liga,26.0,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1547,Lucas,br BRA,"MF,DF",Burnley,eng Premier League,24.0,2001,20,15,1409,15.7,0,0,0,0,0,0,1,1,0.00,16,4,25.0,1.02,0.26,0.00,0.00,0,0,56,22,19,4,1,1,0,15,0,,,,,,,,,,,,,,
1548,Lorenzo Lucca,it ITA,FW,Napoli,it Serie A,24.0,2000,16,4,408,4.5,1,0,1,1,0,0,1,0,0.22,15,5,33.3,3.31,1.10,0.07,0.20,0,0,0,0,0,12,1,0,0,17,0,,,,,,,,,,,,,,
1549,Lorenzo Lucca,it ITA,FW,Nottingham Forest,eng Premier League,24.0,2000,4,1,129,1.4,1,0,1,1,0,0,0,0,0.70,4,1,25.0,2.79,0.70,0.25,1.00,0,0,0,0,1,2,0,0,0,1,0,,,,,,,,,,,,,,
1550,Dimitri Lucea,fr FRA,DF,Paris Saint-Germain,fr Ligue 1,18.0,2007,2,1,60,0.7,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,2,2,1,0,0,0,1,0,,,,,,,,,,,,,,
1551,Jhon Lucumí,co COL,DF,Bologna,it Serie A,27.0,1998,29,26,2287,25.4,1,0,1,1,0,0,5,0,0.04,8,2,25.0,0.31,0.08,0.13,0.50,0,0,1,22,30,19,5,0,0,23,0,,,,,,,,,,,,,,
1552,Oier Luengo,es ESP,DF,Oviedo,es La Liga,27.0,1997,3,3,225,2.5,0,1,1,0,0,0,1,0,0.40,1,0,0.0,0.40,0.00,0.00,,0,0,0,5,2,1,1,0,0,2,0,,,,,,,,,,,,,,
1553,Florentino Luís,pt POR,MF,Burnley,eng Premier League,25.0,1999,31,25,2105,23.4,0,2,2,0,0,0,6,0,0.09,13,2,15.4,0.56,0.09,0.00,0.00,0,0,11,49,40,8,6,0,0,40,0,,,,,,,,,,,,,,
1554,José Luis Gayà,es ESP,DF,Valencia,es La Liga,30.0,1995,32,31,2448,27.2,1,2,3,1,0,0,6,1,0.11,13,3,23.1,0.48,0.11,0.08,0.33,0,0,88,44,23,20,6,1,0,31,0,,,,,,,,,,,,,,
1555,José Luis Morales,es ESP,MF,Levante,es La Liga,38.0,1987,20,1,363,4.0,1,1,2,0,1,1,1,0,0.25,11,4,36.4,2.73,0.99,0.00,0.00,1,1,11,5,3,4,1,0,0,3,0,,,,,,,,,,,,,,
1556,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,27.0,1998,13,7,604,6.7,1,0,1,1,0,0,1,0,0.15,6,4,66.7,0.89,0.60,0.17,0.25,0,0,28,11,7,10,1,0,0,9,0,,,,,,,,,,,,,,
1557,Douglas Luiz,br BRA,MF,Nottingham Forest,eng Premier League,27.0,1998,8,5,315,3.5,0,0,0,0,0,0,2,0,0.00,5,1,20.0,1.43,0.29,0.00,0.00,0,0,15,3,7,5,2,0,0,4,0,,,,,,,,,,,,,,
1558,Romelu Lukaku,be BEL,FW,Napoli,it Serie A,32.0,1993,5,0,44,0.5,1,0,1,1,0,0,1,0,2.05,2,1,50.0,4.09,2.05,0.50,1.00,0,0,0,0,0,0,1,0,0,2,0,,,,,,,,,,,,,,
1559,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,22.0,2002,26,24,2176,24.2,1,0,1,1,0,0,3,0,0.04,8,2,25.0,0.33,0.08,0.13,0.50,0,0,3,14,31,12,3,0,0,11,0,,,,,,,,,,,,,,
1560,Dodi Lukebakio,be BEL,MF,Sevilla,es La Liga,27.0,1997,2,2,180,2.0,1,0,1,1,0,0,0,0,0.50,2,1,50.0,1.00,0.50,0.50,1.00,0,0,10,0,1,3,0,0,0,3,0,,,,,,,,,,,,,,
1561,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,28.0,1996,26,20,1734,19.3,1,2,3,1,0,0,9,0,0.16,18,6,33.3,0.93,0.31,0.06,0.17,0,0,68,28,16,25,9,0,0,53,0,,,,,,,,,,,,,,
1562,Kristoffer Lund,us USA,"DF,MF",Köln,de Bundesliga,23.0,2002,33,26,2276,25.3,0,2,2,0,0,0,2,0,0.08,20,3,15.0,0.79,0.12,0.00,0.00,0,0,83,26,28,40,2,0,0,13,0,,,,,,,,,,,,,,
1563,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,26.0,1999,6,6,540,6.0,0,0,0,0,0,0,0,1,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,1,0,0,0,7,1.17,23,16,69.6,3,2,1,1,16.7,0,0,0,0
1564,Sebastiano Luperto,it ITA,DF,Cremonese,it Serie A,28.0,1996,15,15,1307,14.5,0,1,1,0,0,0,1,0,0.07,5,2,40.0,0.34,0.14,0.00,0.00,0,0,10,9,12,12,1,0,0,9,0,,,,,,,,,,,,,,
1565,Sebastiano Luperto,it ITA,DF,Cagliari,it Serie A,28.0,1996,19,19,1706,19.0,1,0,1,1,0,0,3,0,0.05,7,3,42.9,0.37,0.16,0.14,0.33,0,0,1,12,19,17,3,0,0,23,0,,,,,,,,,,,,,,
1566,Iker Luque,es ESP,DF,Atlético Madrid,es La Liga,20.0,2005,1,0,28,0.3,1,0,1,1,0,0,0,0,3.21,3,2,66.7,9.64,6.43,0.33,0.50,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,
1567,Mateus Lusuardi,br BRA,DF,Pisa,it Serie A,21.0,2004,3,3,198,2.2,0,0,0,0,0,0,1,0,0.00,4,0,0.0,1.82,0.00,0.00,,0,0,1,2,0,0,1,0,0,4,0,,,,,,,,,,,,,,
1568,Zito Luvumbo,ao ANG,"FW,MF",Mallorca,es La Liga,23.0,2002,10,6,508,5.6,0,2,2,0,0,0,2,0,0.35,9,7,77.8,1.59,1.24,0.00,0.00,0,0,19,0,0,20,2,0,0,13,0,,,,,,,,,,,,,,
1569,Zito Luvumbo,ao ANG,"MF,FW",Cagliari,it Serie A,23.0,2002,12,2,329,3.7,0,0,0,0,0,0,0,0,0.00,12,6,50.0,3.28,1.64,0.00,0.00,0,0,7,1,1,18,0,0,0,4,0,,,,,,,,,,,,,,
1570,Babis Lykogiannis,gr GRE,DF,Bologna,it Serie A,31.0,1993,10,7,627,7.0,0,1,1,0,0,0,3,0,0.14,7,2,28.6,1.00,0.29,0.00,0.00,0,0,45,10,6,1,3,0,0,8,0,,,,,,,,,,,,,,
1571,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,26.0,1999,31,31,2752,30.6,0,0,0,0,0,0,4,0,0.00,25,4,16.0,0.82,0.13,0.00,0.00,0,0,14,33,77,12,4,0,0,38,0,,,,,,,,,,,,,,
1572,Mathias Løvik,no NOR,MF,Parma,it Serie A,21.0,2003,9,5,471,5.2,0,0,0,0,0,0,0,0,0.00,3,0,0.0,0.57,0.00,0.00,,0,0,15,8,7,2,0,0,0,3,0,,,,,,,,,,,,,,
1573,Ian Maatsen,nl NED,DF,Aston Villa,eng Premier League,23.0,2002,30,17,1605,17.8,0,1,1,0,0,0,2,0,0.06,20,5,25.0,1.12,0.28,0.00,0.00,0,0,54,31,18,19,2,0,0,17,0,,,,,,,,,,,,,,
1574,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,26.0,1998,37,31,2658,29.5,2,4,6,2,0,0,7,0,0.20,52,12,23.1,1.76,0.41,0.04,0.17,0,0,20,27,18,32,7,0,0,35,0,,,,,,,,,,,,,,
1575,Tommaso Macchioni,it ITA,DF,Sassuolo,it Serie A,19.0,2006,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,1,0,0.0,1.00,0.00,0.00,,0,0,0,0,2,0,1,0,0,1,0,,,,,,,,,,,,,,
1576,Deiver Machado,co COL,"DF,MF",Nantes,fr Ligue 1,31.0,1993,14,12,907,10.1,0,1,1,0,0,0,2,0,0.10,7,1,14.3,0.69,0.10,0.00,0.00,0,0,22,16,8,20,2,0,0,21,0,,,,,,,,,,,,,,
1577,Deiver Machado,co COL,MF,Lens,fr Ligue 1,31.0,1993,5,4,273,3.0,0,0,0,0,0,0,1,0,0.00,6,1,16.7,1.98,0.33,0.00,0.00,0,0,4,1,3,8,1,0,0,4,0,,,,,,,,,,,,,,
1578,Koki Machida,jp JPN,DF,Hoffenheim,de Bundesliga,27.0,1997,1,1,44,0.5,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,1,0,1,0,0,2,0,,,,,,,,,,,,,,
1579,Lanroy Machine,fr FRA,FW,Angers,fr Ligue 1,19.0,2005,22,3,519,5.8,1,0,1,1,0,0,1,0,0.17,15,4,26.7,2.60,0.69,0.07,0.25,0,0,5,4,0,5,1,0,0,9,0,,,,,,,,,,,,,,
1580,Shuto Machino,jp JPN,"FW,MF",Gladbach,de Bundesliga,25.0,1999,32,9,1076,12.0,3,1,4,3,0,0,2,0,0.33,25,11,44.0,2.09,0.92,0.12,0.27,0,0,10,5,3,11,2,0,0,14,0,,,,,,,,,,,,,,
1581,Carlos Macià,es ESP,MF,Villarreal,es La Liga,16.0,2008,5,0,83,0.9,0,0,0,0,0,0,1,0,0.00,1,0,0.0,1.08,0.00,0.00,,0,0,0,0,2,0,1,0,0,1,0,,,,,,,,,,,,,,
1582,James Maddison,eng ENG,"FW,MF",Tottenham Hotspur,eng Premier League,28.0,1996,3,0,37,0.4,0,0,0,0,0,0,0,0,0.00,2,0,0.0,4.86,0.00,0.00,,0,0,6,1,0,1,0,0,0,1,0,,,,,,,,,,,,,,
1583,Brian Madjo,lu LUX,FW,Metz,fr Ligue 1,16.0,2009,5,2,157,1.7,0,0,0,0,0,0,0,0,0.00,3,1,33.3,1.72,0.57,0.00,0.00,0,0,0,0,0,3,0,0,0,3,0,,,,,,,,,,,,,,
1584,Noni Madueke,eng ENG,"FW,MF",Arsenal,eng Premier League,23.0,2002,26,16,1211,13.5,3,1,4,3,0,0,0,0,0.30,25,9,36.0,1.86,0.67,0.12,0.33,0,0,80,10,5,15,0,0,0,15,0,,,,,,,,,,,,,,
1585,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,28.0,1997,31,30,2662,29.6,1,2,3,1,0,0,11,0,0.10,7,1,14.3,0.24,0.03,0.14,1.00,0,0,85,34,33,23,11,0,0,26,1,,,,,,,,,,,,,,
1586,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,27.0,1997,32,30,2751,30.6,3,4,7,3,0,0,4,0,0.23,27,7,25.9,0.88,0.23,0.11,0.43,0,0,6,20,22,34,4,0,0,21,0,,,,,,,,,,,,,,
1587,Soungoutou Magassa,fr FRA,MF,West Ham United,eng Premier League,21.0,2003,22,11,981,10.9,1,0,1,1,0,0,4,0,0.09,7,2,28.6,0.64,0.18,0.14,0.50,0,0,9,23,17,17,4,0,0,17,0,,,,,,,,,,,,,,
1588,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,27.0,1998,33,31,2688,29.9,1,1,2,1,0,0,4,1,0.07,22,5,22.7,0.74,0.17,0.05,0.20,0,0,26,45,44,33,4,1,0,31,0,,,,,,,,,,,,,,
1589,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,25.0,1999,17,16,1253,13.9,5,1,6,5,0,1,3,0,0.43,33,12,36.4,2.37,0.86,0.15,0.42,0,1,15,3,3,22,3,0,0,28,0,,,,,,,,,,,,,,
1590,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,32.0,1993,23,19,1653,18.4,1,2,3,1,0,0,3,1,0.16,14,4,28.6,0.76,0.22,0.07,0.25,0,0,4,17,12,16,3,1,0,16,0,,,,,,,,,,,,,,
1591,Arne Maier,de GER,MF,Augsburg,de Bundesliga,26.0,1999,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,
1592,Mike Maignan,fr FRA,GK,Milan,it Serie A,30.0,1995,37,37,3295,36.6,0,0,0,0,0,0,4,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,1,6,4,0,0,0,0,35,0.96,134,106,77.6,19,10,8,14,37.8,8,5,2,1
1593,Linton Maina,de GER,"MF,FW",Köln,de Bundesliga,26.0,1999,24,9,1023,11.4,2,0,2,2,0,0,0,0,0.18,20,8,40.0,1.76,0.70,0.10,0.25,0,0,25,6,4,6,0,0,0,8,0,,,,,,,,,,,,,,
1594,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,30.0,1994,34,34,3060,34.0,2,2,4,2,0,0,1,0,0.12,37,9,24.3,1.09,0.26,0.05,0.22,0,0,0,30,36,20,1,0,0,10,0,,,,,,,,,,,,,,
